total_memory,free_memory,available_memory,cache_memory,swap_total_memory,app_total_memory,app_free_memory,app_used_memory,no_of_processor,max_cpu_frequency,cputime,current,voltage,process,time,energy,Device
3697308,313678.202898551,1518.1884057971,1241362.49275362,2097148,10750986.8985507,2421061.56521739,8329925.33333333,8,1690000,100473.536231884,-753,3704,20,7195,20067.66084,s9
3697308,312661.492537313,1517.28358208955,1241368.8358209,2097148,10776813.4925373,2288891.34328358,8487922.14925373,8,1711149.25373134,101518.880597015,-753,3704,20,7486,20879.292432,s9
3697308,310303.044776119,1514.73134328358,1241375.88059702,2097148,11745320.6567164,2441893.31343284,9303427.34328358,8,1727253.73134328,102612.910447761,-753,3704,20,7503,20926.707336,s9
3697308,310646.84057971,1515.30434782609,1241382.20289855,2097148,10891506.6666667,2544494.37681159,8347012.28985507,8,1701681.15942029,103712.304347826,-734.333333333333,3704,20,7669,20859.4550426667,s9
3697308,308789.333333333,1513.23188405797,1241391.42028986,2097148,10831516.057971,1955184.23188406,8876331.82608696,8,1733710.14492754,104835.608695652,-725,3704,20,7674,20607.7596,s9
3697308,307465.043478261,1512.07246376812,1241395.76811594,2097148,10819392.8115942,2157564.52173913,8661828.28985507,8,1690000,105908.072463768,-725,3704,20,7203,19342.9362,s9
3697308,306668.869565217,1511.21739130435,1241404,2097148,10734780.057971,2227145.97101449,8507634.08695652,8,1680579.71014493,106923.985507246,-725,3704,20,7176,19270.4304,s9
3697308,306259.151515151,1510.93939393939,1241415.87878788,2097148,10732219.030303,2197360,8534859.03030303,8,1716787.87878788,107959.818181818,-752.954545454546,3704,20,7348,20493.15784,s9
3697308,307311.304347826,1512.11594202899,1241413.68115942,2097148,10776495.5362319,2469642.43478261,8306853.10144928,8,1690000,109003.289855072,-770,3704,20,7168,20443.70944,s9
3697308,307596.941176471,1512.25,1241428,2097148,10765330.2352941,3125330,7640000.23529412,8,1697264.70588235,110028.485294118,-770,3704,20,7484,21344.96672,s9
3697308,305544.23880597,1510.29850746269,1241435.1641791,2097148,10901842.7462687,2222898.26865672,8678944.47761194,8,1702223.88059702,111143.970149254,-770,3704,20,7480,21333.5584,s9
3697308,304660.588235294,1509.33823529412,1241444,2097148,10820811.5294118,2264800,8556011.52941176,8,1715617.64705882,112230.205882353,-685.617647058824,3704,20,7515,19084.5511517647,s9
3697308,303131.52238806,1507.91044776119,1241452.23880597,2097148,10755485.3731343,2576582.44776119,8178902.92537313,8,1703776.11940299,113321.791044776,-619,3704,20,7350,16851.9036,s9
