total_memory,free_memory,available_memory,cache_memory,swap_total_memory,app_total_memory,app_free_memory,app_used_memory,no_of_processor,max_cpu_frequency,cputime,current,voltage,process,time,energy,Device
3622616,119924.9811,2091.235849,2022088.34,2097148,6652701.698,845880.566,5806821.132,8,2091773.585,19175.32075,-595.4528302,3744,20,12376,27590.7499,s7
3622616,120405.3445,2091.714286,2022172,2097148,6832201.168,857610.916,5974590.252,8,1835294.118,21266.45378,-650,3744,20,13959,33970.6224,s7
3622616,143091.1278,2113.894737,2022184,2097148,6942195.195,1217977.992,5724217.203,8,1664000,23591.6391,-671.1729323,3718,20,15505,38691.50202,s7
3622616,96027.35802,2016.358025,1969312,2097148,6116063.852,1099505.432,5016558.42,8,2600000,3043.209877,-780,3815,20,9971,29670.7047,s7
3622616,97832.98765,2018.506173,1969320,2097148,6516533.074,1239722.901,5276810.173,8,2600000,4658.246914,-1306,3683,20,9896,47599.74021,s7
3622616,96375.65854,2016.914634,1969046.146,2097148,6551097.963,1167313.671,5383784.293,8,2545463.415,6281.54878,-1306,3683,20,10035,48268.32993,s7
3622616,83202.01739,2001.913043,1967249.496,2097148,7201012.139,1166780.417,6034231.722,8,1995895.652,8070.321739,-1306,3683,20,34933,168027.6601,s7
3622616,81762.94118,2000.421569,1966771.961,2097148,7090832.804,1160562.059,5930270.745,8,2080000,10096.58824,-1306,3773,20,12059,59421.18074,s7
3622616,77626.86275,1995.784314,1966784,2097148,6504358.069,979428.1078,5524929.961,8,2080000,12017.90196,-1231,3773,20,12011,55785.84619,s7
3622616,80845.54455,1997.693069,1965477.149,2097148,6649356.762,1111021,5538335.762,8,2076910.891,13938.43564,-1136,3773,20,11950,51219.2296,s7
3622616,92121.85567,2006.42268,1963019.876,2097148,6461082.247,1206353.01,5254729.237,8,2236536.082,15788.36082,-1136,3685,20,11285,47240.8156,s7
3622616,90602.11064,2002.86383,1960959.115,2097148,7866017.051,1191754.821,6674262.23,8,1171659.574,18696.51915,-763.5148936,3685,20,1464725,4121080.514,s7
3622616,82090.06061,1996.588745,1962965.281,2097148,8398392.346,1148424.346,7249968,8,1126554.113,22768.23377,-146.4025974,3685,20,1162660,627247.5958,s7
3622616,88468.41739,2001.708696,1961947.722,2097148,8494017.139,1250891.574,7243125.565,8,1154173.913,26880.41739,-164.626087,3781,20,1091977,679702.432,s7
3622616,75231.49345,1984.847162,1957758.865,2097148,8151539.812,1166354.729,6985185.083,8,1188506.55,30867.86026,-79,3754,20,70796,20995.68654,s7
3622616,74483.17597,1992.888412,1966740.343,2097148,8737279.845,1240669.305,7496610.541,8,1108068.67,34977.14592,-148.695279,3778,20,2289627,1286245.509,s7
3622616,70107.19298,1988.315789,1966416.439,2097148,8729185.531,1127944.443,7601241.088,8,1184596.491,39088.38596,-139.5614035,3759,20,1129737,592672.8141,s7
3622616,80012.52174,1994.86087,1963336.852,2097148,8146641.622,1505330.7,6641310.922,8,1177460.87,43089.15217,-51.76086957,3768,20,62741,12236.68821,s7
3622616,89087.15517,2008.090517,1967723.362,2097148,8491928.172,893871.3103,7598056.862,8,1100293.103,47170.74138,-246.5991379,3772,20,2255390,2097900.51,s7
3622616,84341.41277,2003.770213,1968070.485,2097148,8246276.23,1340998.613,6905277.617,8,1131719.149,51309.2383,-259.2765957,3769,20,3450846,3372213.261,s7
3622616,77908.72566,1993.384956,1963864.106,2097148,8399926.204,1196034.381,7203891.823,8,1273194.69,55367.5531,-218.6725664,3762,20,957204,787440.2281,s7
3622616,91445.56522,1994.352174,1951223.461,2097148,8608540.087,1244620.087,7363920,8,1121730.435,59354.18696,-173.7130435,3752,20,2345611,1528802.023,s7
3622616,125347.5152,2029.30303,1953180.848,2097148,8499293.866,1272014.628,7227279.238,8,1105956.71,63452.00433,-48.42424242,3745,20,1658554,300776.7575,s7
3622616,117339.9825,2021.592105,1953338.895,2097148,8554856.846,1165960.601,7388896.246,8,1091885.965,67509.89474,-130.5263158,3745,20,1816736,888058.8039,s7
3622616,130878.8276,2035.00431,1953562.983,2097148,8508951.621,871068.4569,7637883.164,8,1092336.207,71617.68103,-131.7974138,3752,20,3451129,1706596.738,s7
3622616,128308.9362,2032.680851,1953616.851,2097148,8310390.566,1150985.426,7159405.14,8,1115787.234,75782.60851,-175.3191489,3746,20,3450960,2266402.561,s7
3622616,111046.9915,2015.867521,1953734.034,2097148,8312014.641,1178027.017,7133987.624,8,1222111.111,79909.64957,-308.5384615,3733,20,1190170,1370806.953,s7
3622616,87100,1992.606987,1953864.611,2097148,8455169.122,1192310.607,7262858.515,8,1123676.856,83923.43231,-345.0349345,3749,20,1753187,2267810.446,s7
3622616,81932.1913,1987.695652,1953999.27,2097148,8711386.752,1123444.07,7587942.683,8,1107147.826,88011.74348,-408.1391304,3741,20,1728837,2639672.158,s7
3622616,81142.28326,1987.025751,1953976.034,2097148,8375286.991,984932.8627,7390354.129,8,1139313.305,92074.12017,-114.1545064,3735,20,2242935,956313.65,s7
3622616,82913.94043,1988.680851,1954017.923,2097148,8758713.651,974719.7447,7783993.906,8,1111582.979,96197.48511,-128.2765957,3742,20,3450296,1656180.107,s7
3622616,77858.90909,1983.38961,1953550.442,2097148,8403336.459,1197652.684,7205683.775,8,1125541.126,100327.9307,-120.2727273,3718,20,1267107,566617.3056,s7
3622616,95676,1997.922747,1950796.532,2097148,8612613.502,1012830.532,7599782.97,8,1081287.554,104448.2661,-316.7725322,3724,20,2204428,2600477.54,s7
3622616,90218.41702,1992.748936,1950833.413,2097148,8603993.889,1057689.617,7546304.272,8,1089676.596,108639.3362,-240.906383,3725,20,3450917,3096771.048,s7
3622616,88133.22553,1993.2,1953475.455,2097148,8114919.2,1279627.115,6835292.085,8,1146987.234,112825.0979,-119.787234,3727,20,3448273,1539471.209,s7
3806456,241737.068,1313.23301,1103350.078,1884792,15131319.65,4462044.311,10669275.34,8,1712341.748,1582.349515,290.7427184,3874,20,24275,27341.83775,lg
3806456,262133.4648,1333.314554,1103806.197,1884792,16109695.44,5306783.474,10802911.96,8,1717723.944,4458.553991,329.1502347,3874,20,70885,90387.44895,lg
3806456,261826.3406,1333.244541,1103966.323,1884792,14282650.66,4798182.148,9484468.507,8,1718861.135,7484.598253,308.2838428,3802,20,44595,52269.58412,lg
3806456,247866.0777,1319.737864,1104083.825,1884792,16243442.25,5254711.34,10988730.91,8,1717095.146,10393.27184,330.1990291,3770,20,23320,29029.90992,lg
3806456,245170.56,1317.244444,1104222.24,1884792,14857432.85,5252705.636,9604727.218,8,1713578.667,13491.8,310.3911111,3770,20,117466,137455.7165,lg
3806456,236467.7736,1308.646226,1104160.623,1884792,16311438.34,5395629.887,10915808.45,8,1717403.774,16270.08019,348.3349057,3754,20,23276,30436.84361,lg
3806456,241314.5871,1313.338308,1104180.796,1884792,15064520.08,4268949.015,10795571.06,8,1698674.627,18888.18408,288.5273632,3799,20,26174,28689.72586,lg
3806456,236310.0901,1311.238739,1106990.288,1884792,15140448.32,4929277.694,10211170.63,8,1721167.568,21884.14414,321.0900901,3751,20,135352,163019.1572,lg
